authors,title,language_code
Bisco Hatori,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club, #1)",eng
Mary Kubica,The Good Girl,eng
Abbi Glines,"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",eng
Rainbow Rowell,Landline,eng
"P.C. Cast, Kristin Cast","Tempted (House of Night, #6)",eng
Cormac McCarthy,No Country for Old Men,eng
Hilary Mantel,"Wolf Hall (Thomas Cromwell, #1)",eng
Diana Wynne Jones,"Howl's Moving Castle (Howl's Moving Castle, #1)",eng
"Stephen King, William Olivier Desmond",Dreamcatcher,fre
Henry David Thoreau,Walden,eng
Kazuo Ishiguro,The Remains of the Day,eng
Nicholas Sparks,The Best of Me,en-US
Julian Barnes,The Sense of an Ending,eng
Sue Grafton,"A is for Alibi (Kinsey Millhone, #1)",en-US
"Sophocles, J.E. Thomas","Oedipus Rex  (The Theban Plays, #1)",eng
Lisa See,Shanghai Girls (Shanghai Girls #1),eng
"Kenneth Grahame, Gillian Avery",The Wind in the Willows,eng
Jenny Han,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",eng
"Marjane Satrapi, Mattias Ripa","Persepolis: The Story of a Childhood (Persepolis, #1)",eng
E.M. Forster,A Room with a View,eng
Kody Keplinger,The DUFF: Designated Ugly Fat Friend,en-US
Sarah Dessen,Lock and Key,eng
J.D. Robb,"Naked in Death (In Death, #1)",en-US
John Grisham,The Chamber,eng
Stephenie Meyer,"Midnight Sun (Twilight, #1.5)",eng
"Masashi Kishimoto, Katy Bridges","Naruto, Vol. 01: The Tests of the Ninja (Naruto, #1)",eng
Rachel Joyce,"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",eng
David Levithan,"Every Day (Every Day, #1)",eng
Orson Scott Card,"Xenocide (Ender's Saga, #3)",eng
"William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine",The Merchant of Venice,eng
James Clavell,"Shōgun (Asian Saga, #1)",eng
J.R. Ward,"Lover Awakened (Black Dagger Brotherhood, #3)",eng
Sarah J. Maas,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",eng
E.L. James,"Fifty Shades Trilogy (Fifty Shades, #1-3)",
"Bill Martin Jr., John Archambault, Lois Ehlert",Chicka Chicka Boom Boom,eng
Raina Telgemeier,Smile,eng
"George Orwell, Christopher Hitchens",Animal Farm / 1984,eng
Jacquelyn Mitchard,"The Deep End of the Ocean (Cappadora Family, #1)",en-US
Amy Tan,The Bonesetter's Daughter,en-US
Louise Rennison,"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)",eng
Robin Sloan,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",eng
V.C. Andrews,"Flowers in the Attic (Dollanganger, #1)",eng
"Paul Kalanithi, Abraham Verghese",When Breath Becomes Air,eng
Jerry Spinelli,Maniac Magee,eng
Chuck Palahniuk,Invisible Monsters,eng
William Shakespeare,Twelfth Night,eng
Lois Lowry,"Gathering Blue (The Giver, #2)",eng
Ellen Raskin,The Westing Game,eng
Pierce Brown,"Red Rising (Red Rising, #1)",eng
Brent Weeks,"The Way of Shadows (Night Angel, #1)",en-US
Barbara Kingsolver,"The Bean Trees (Greer Family, #1)",eng
Jamie McGuire,"Walking Disaster (Beautiful, #2)",eng
Brandon Sanderson,"Words of Radiance (The Stormlight Archive, #2)",eng
"Sam McBratney, Anita Jeram",Guess How Much I Love You,en-US
Diana Gabaldon,"The Fiery Cross (Outlander, #5)",eng
"Stephen King, John D. MacDonald",Night Shift,en-GB
Peter Benchley,Jaws,eng
Nicole Krauss,The History of Love,eng
"Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn",Pippi Longstocking,eng
"Muriel Barbery, Alison Anderson",The Elegance of the Hedgehog,eng
"Doris Kearns Goodwin, Suzanne Toren",Team of Rivals: The Political Genius of Abraham Lincoln,eng
Charlaine Harris,"Dead in the Family (Sookie Stackhouse, #10)",en-US
"Albert Camus, Stuart Gilbert",The Plague,en-US
"Lemony Snicket, Brett Helquist","The Reptile Room (A Series of Unfortunate Events, #2)",eng
Susannah Cahalan,Brain on Fire: My Month of Madness,eng
Melissa Marr,"Wicked Lovely (Wicked Lovely, #1)",en-US
H.A. Rey,Curious George,en-CA
"Michael Ende, Ralph Manheim, Roswitha Quadflieg",The Neverending Story,eng
Sylvia Nasar,A Beautiful Mind,en-GB
"Upton Sinclair, Earl Lee, Kathleen DeGrave",The Jungle,eng
Kelley Armstrong,"The Summoning (Darkest Powers, #1)",en-US
Oliver Sacks,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,en-US
Ken Follett,Eye of the Needle,en-US
Margaret Atwood,The Blind Assassin,eng
Ransom Riggs,"Hollow City (Miss Peregrine’s Peculiar Children, #2)",eng
Andre Dubus III,House of Sand and Fog,eng
M.R. Carey,The Girl with All the Gifts,eng
William Faulkner,As I Lay Dying,eng
Crockett Johnson,Harold and the Purple Crayon,eng
J.R. Ward,"Lover Eternal (Black Dagger Brotherhood, #2)",eng
Isaac Asimov,Second Foundation (Foundation #3),eng
Jim Butcher,"Fool Moon (The Dresden Files, #2)",eng
Malcolm Gladwell,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",eng
"Hiromu Arakawa, Akira Watanabe","Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",eng
Terry Pratchett,"Guards! Guards! (Discworld, #8)",eng
Joan Didion,The Year of Magical Thinking,eng
Lionel Shriver,We Need to Talk About Kevin,eng
Arthur C. Clarke,"Rendezvous with Rama (Rama, #1)",eng
Anne Rice,"The Queen of the Damned (The Vampire Chronicles, #3)",eng
"Edith Wharton, Maureen Howard",The Age of Innocence,eng
Richard Dawkins,The Selfish Gene,eng
Geraldine Brooks,Year of Wonders,eng
Michael Connelly,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",eng
Ayn Rand,Anthem,eng
Sylvain Reynard,"Gabriel's Inferno (Gabriel's Inferno, #1)",eng
"Judi Barrett, Ron Barrett",Cloudy With a Chance of Meatballs,eng
Helen Simonson,Major Pettigrew's Last Stand,eng
Nora Roberts,"Vision in White (Bride Quartet, #1)",eng
Jodi Picoult,The Tenth Circle,eng
Rick Riordan,"The Throne of Fire (Kane Chronicles, #2)",eng
John Scalzi,"Old Man's War (Old Man's War, #1)",eng
Stephen King,Gerald's Game,eng
Janet Evanovich,"Two for the Dough (Stephanie Plum, #2)",eng
"Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker",The Joy of Cooking,
Joe Haldeman,"The Forever War (The Forever War, #1)",eng
"Stephen King, Bettina Blanch Tyroller",Insomnia,spa
Azar Nafisi,Reading Lolita in Tehran,eng
Joe Abercrombie,"The Blade Itself (The First Law, #1)",eng
Eoin Colfer,"The Arctic Incident (Artemis Fowl, #2)",eng
Annie Proulx,The Shipping News,eng
"Marie Kondō, Cathy Hirano",The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,eng
"Jennifer Niven, فرانک معنوی",All the Bright Places,eng
Kathy Reichs,"Déjà Dead (Temperance Brennan, #1)",eng
Michael Scott,"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",eng
Jeffrey Eugenides,The Marriage Plot,eng
"Isabel Allende, Margaret Sayers Peden",Daughter of Fortune,eng
Jessica Knoll,Luckiest Girl Alive,eng
Ellen Hopkins,"Crank (Crank, #1)",eng
Maggie Stiefvater,"The Raven Boys (The Raven Cycle, #1)",eng
Richard Matheson,I Am Legend and Other Stories,eng
Elizabeth Strout,Olive Kitteridge,eng
"Lena Dunham, Joana Avillez","Not That Kind of Girl: A Young Woman Tells You What She's ""Learned""",eng
James C. Collins,Good to Great: Why Some Companies Make the Leap... and Others Don't,eng
Kristin Cashore,"Fire (Graceling Realm, #2)",en-US
Samuel Beckett,Waiting for Godot,eng
Jack London,White Fang,eng
"Stephen King, Bernie Wrightson","Wolves of the Calla (The Dark Tower, #5)",eng
Philip Pullman,His Dark Materials (His Dark Materials #1-3),eng
J.A. Redmerski,"The Edge of Never (The Edge of Never, #1)",en-US
Kimberly McCreight,Reconstructing Amelia,eng
Jojo Moyes,One Plus One,eng
Michael Cunningham,The Hours,en-US
Alice Clayton,"Wallbanger (Cocktail, #1)",eng
David Sedaris,Holidays on Ice,eng
Stephen King,Desperation,eng
Lauren Kate,"Passion (Fallen, #3)",eng
James Dashner,"The Kill Order (Maze Runner, #0.5)",eng
Susan Ee,"Angelfall (Penryn & the End of Days, #1)",en-US
Richard Russo,Empire Falls,eng
Robert Jordan,"The Fires of Heaven (Wheel of Time, #5)",en-US
Jandy Nelson,I'll Give You the Sun,eng
Chuck Palahniuk,Survivor,en-US
Sophie Kinsella,"Shopaholic & Baby (Shopaholic, #5)",eng
Stephen King,"The Dark Tower (The Dark Tower, #7)",en-US
Catherine Hardwicke,Twilight Director's Notebook : The Story of How We Made the Movie Based on the Novel by Stephenie Meyer,en-US
Sophie Kinsella,"Shopaholic Takes Manhattan (Shopaholic, #2)",en-US
Richard Feynman,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",en-US
Maggie Stiefvater,"Linger (The Wolves of Mercy Falls, #2)",en-US
L.M. Montgomery,"The Complete Anne of Green Gables Boxed Set (Anne of Green Gables, #1-8)",
"James Joyce, Seamus Deane",A Portrait of the Artist as a Young Man,eng
"Robert Jordan, Brandon Sanderson","The Gathering Storm (Wheel of Time, #12)",eng
"George Eliot, Michel Faber",Middlemarch,eng
Colleen Hoover,"Point of Retreat (Slammed, #2)",eng
John Grisham,The Partner,
J.R.R. Tolkien,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,eng
S.C. Stephens,"Thoughtless (Thoughtless, #1)",eng
Scott Turow,Presumed Innocent,
Stephen King,The Dark Half,eng
Stacy Schiff,Cleopatra: A Life,eng
Thomas L. Friedman,The World Is Flat: A Brief History of the Twenty-first Century,en-US
Brandon Sanderson,"Steelheart (The Reckoners, #1)",eng
"Marcus Pfister, J. Alison James",The Rainbow Fish,en-US
Jules Verne,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",eng
Gretchen Rubin,"The Happiness Project: Or Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun",eng
Philip K. Dick,The Man in the High Castle,eng
"Vincent Bugliosi, Curt Gentry",Helter Skelter: The True Story of the Manson Murders,en-GB
"Robert Kapilow, Dr. Seuss","Dr. Seuss's Green Eggs and Ham: For Soprano, Boy Soprano, and Orchestra",
"Dante Alighieri, Anthony M. Esolen",Inferno (The Divine Comedy #1),
Deborah Harkness,"Shadow of Night (All Souls Trilogy, #2)",eng
Jodi Picoult,Leaving Time,eng
Patricia Briggs,"Moon Called (Mercy Thompson, #1)",eng
Melissa de la Cruz,"Blue Bloods (Blue Bloods, #1)",en-US
Caleb Carr,"The Alienist (Dr. Laszlo Kreizler, #1)",eng
Ta-Nehisi Coates,Between the World and Me,eng
"John Milton, John      Leonard",Paradise Lost,eng
Michael   Lewis,The Big Short: Inside the Doomsday Machine,en-US
Stephen King,The Girl Who Loved Tom Gordon,
"Patrick Ness, Jim Kay, Siobhan Dowd",A Monster Calls,eng
"Robert Jordan, Brandon Sanderson","Towers of Midnight (Wheel of Time, #13)",en-US
Frederick Forsyth,The Day of the Jackal,eng
"Jason Fried, David Heinemeier Hansson",Rework,eng
Rainbow Rowell,Attachments,eng
"Stephenie Meyer, Ilyana Kadushin, Matt Walters","The Twilight Saga (Twilight, #1-4)",
Carol Rifka Brunt,Tell the Wolves I'm Home,eng
James Herriot,"All Creatures Great and Small (All Creatures Great and Small, #1-2)",eng
Michelle Hodkin,"The Unbecoming of Mara Dyer (Mara Dyer, #1)",eng
Janet Evanovich,"Three to Get Deadly (Stephanie Plum, #3)",en-US
Emmuska Orczy,The Scarlet Pimpernel,eng
"Jon Stone, Michael J. Smollin",The Monster at the End of this Book,eng
Judy Blume,"Tales of a Fourth Grade Nothing (Fudge, #1)",eng
Leigh Bardugo,"Shadow and Bone (Shadow and Bone, #1)",eng
"Herman Koch, Sam Garrett",The Dinner,eng
Marie Lu,"Champion (Legend, #3)",eng
Carl Sagan,Contact,eng
Stephanie Perkins,"Lola and the Boy Next Door (Anna and the French Kiss, #2)",en-US
Zadie Smith,White Teeth,en-US
"Chris Kyle, Scott McEwen, Jim DeFelice",American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,eng
Chelsea Handler,My Horizontal Life: A Collection of One-Night Stands,en-GB
Pittacus Lore,"The Power of Six (Lorien Legacies, #2)",eng
Meg Wolitzer,The Interestings,eng
Bill Watterson,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,en-US
Geraldine Brooks,People of the Book,eng
Kate Morton,The Secret Keeper,
Better Homes and Gardens,Better Homes and Gardens New Cook Book  ,
Douglas Adams,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)",eng
"Hermann Hesse, Basil Creighton",Steppenwolf,eng
Tess Gerritsen,"The Surgeon (Rizzoli & Isles, #1)",en-GB
Jojo Moyes,The Girl You Left Behind,eng
Robin Hobb,"Royal Assassin (Farseer Trilogy, #2)",eng
Arthur C. Clarke,Childhood's End,en-US
"Kate DiCamillo, Timothy Basil Ering",The Tale of Despereaux,en-US
"Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser","Animal, Vegetable, Miracle: A Year of Food Life",en-US
Sarah J. Maas,"Heir of Fire (Throne of Glass, #3)",eng
Robert Jordan,"Lord of Chaos (Wheel of Time, #6)",eng
Alan Bradley,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",eng
Donald Miller,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,en-US
Diana Gabaldon,"A Breath of Snow and Ashes (Outlander, #6)",eng
Rick Riordan,"The Blood of Olympus (The Heroes of Olympus, #5)",eng
Liane Moriarty,Truly Madly Guilty,eng
"Brian K. Vaughan, Fiona Staples","Saga, Vol. 1 (Saga, #1)",eng
Chad Harbach,The Art of Fielding,eng
Ernest Hemingway,A Moveable Feast,eng
Brandon Mull,"Fablehaven (Fablehaven, #1)",eng
"Lemony Snicket, Brett Helquist","The Wide Window (A Series of Unfortunate Events, #3)",eng
Jim Butcher,"Grave Peril (The Dresden Files, #3)",eng
Walter Isaacson,Einstein: His Life and Universe,eng
S.C. Stephens,"Effortless (Thoughtless, #2)",eng
John Grisham,The Street Lawyer,eng
Mildred D. Taylor,"Roll of Thunder, Hear My Cry (Logans, #4)",eng
"Seth Grahame-Smith, Jane Austen","Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",eng
David Sedaris,Let's Explore Diabetes with Owls,eng
"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky",The Idiot,eng
Douglas Adams,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),en-US
Jeff Kinney,"Rodrick Rules (Diary of a Wimpy Kid, #2)",en-US
Mindy Kaling,Why Not Me?,eng
Veronica Roth,"Four: A Divergent Story Collection (Divergent, #0.1 - 0.4)",eng
"Aziz Ansari, Eric Klinenberg",Modern Romance,eng
"Katherine Applegate, Patricia Castelao",The One and Only Ivan,eng
Sebastian Junger,The Perfect Storm: A True Story of Men Against the Sea,en-US
Brandon Sanderson,"Elantris (Elantris, #1)",eng
Patrick Ness,"The Knife of Never Letting Go (Chaos Walking, #1)",eng
Jim Fergus,One Thousand White Women: The Journals of May Dodd (One Thousand White Women#1),eng
Jodi Picoult,Handle with Care,eng
"Stephen King, Darrel Anderson","Song of Susannah (The Dark Tower, #6)",eng
Ally Condie,"Reached (Matched, #3)",
Salman Rushdie,Midnight's Children,eng
Max Brooks,The Zombie Survival Guide: Complete Protection from the Living Dead,eng
John Grisham,The Testament,
Agatha Christie,"Murder at the Vicarage (Miss Marple, #1)",eng
Margaret Peterson Haddix,"Among the Hidden (Shadow Children, #1)",eng
Michael Pollan,In Defense of Food: An Eater's Manifesto,en-US
Elizabeth George Speare,The Witch of Blackbird Pond,en-US
Kiera Cass,"The Heir (The Selection, #4)",eng
Sophie Kinsella,"Shopaholic Ties the Knot (Shopaholic, #3)",eng
"Wilkie Collins, Matthew Sweet",The Woman in White,eng
"Robert Galbraith, J.K. Rowling","Career of Evil (Cormoran Strike, #3)",eng
Jenny Han,"The Summer I Turned Pretty (Summer, #1)",en-US
Janet Evanovich,"Four to Score (Stephanie Plum, #4)",en-US
James McBride,The Color of Water: A Black Man's Tribute to His White Mother,en-US
"Steven D. Levitt, Stephen J. Dubner","SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",en-US
Karen Marie Moning,"Darkfever (Fever, #1)",eng
Terry Goodkind,"Stone of Tears (Sword of Truth, #2)",en-US
Emily Giffin,Heart of the Matter,en-US
"William Makepeace Thackeray, John Carey",Vanity Fair,eng
Kurt Vonnegut Jr.,The Sirens of Titan,en-GB
"Stephen King, Dominique Dill",Dolores Claiborne,fre
Cynthia D'Aprix Sweeney,The Nest,eng
"Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean","Fables, Vol. 1: Legends in Exile",eng
David    Allen,Getting Things Done: The Art of Stress-Free Productivity,en-GB
James Redfield,"The Celestine Prophecy (Celestine Prophecy, #1)",en-US
Huntley Fitzpatrick,My Life Next Door,eng
Ken Follett,Winter of the World (The Century Trilogy #2),eng
"Haruki Murakami, Philip Gabriel",Colorless Tsukuru Tazaki and His Years of Pilgrimage,eng
Alice Sebold,Lucky,eng
Virginia Woolf,To the Lighthouse,eng
Chetan Bhagat,Five Point Someone,en-GB
Laurell K. Hamilton,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",eng
Markus Zusak,I Am the Messenger,en-US
"Thomas Hardy, Rosemarie Morgan, Shannon Russell",Far from the Madding Crowd,eng
Terry Pratchett,"Equal Rites (Discworld, #3; Witches #1)",eng
Mark Z. Danielewski,House of Leaves,eng
Patricia Cornwell,"Cruel & Unusual (Kay Scarpetta, #4)",nl
John Grisham,Sycamore Row,eng
"P.C. Cast, Kristin Cast","Awakened (House of Night, #8)",en-US
Willa Cather,My Ántonia,eng
Susan Beth Pfeffer,"Life As We Knew It (Last Survivors, #1)",eng
"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",America (The Book): A Citizen's Guide to Democracy Inaction,eng
"Don Piper, Cecil Murphey",90 Minutes in Heaven: A True Story of Death and Life,
Nicholas Sparks,The Longest Ride,eng
"Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe",Tao Te Ching,eng
Jeffrey Archer,"Kane and Abel (Kane and Abel, #1)",en-US
Jodi Picoult,Change of Heart,en-US
Augusten Burroughs,Dry,eng
James Patterson,Sam's Letters to Jennifer,
E.L. James,"Grey (Fifty Shades, #4)",en-GB
Frank Herbert,Dune Messiah (Dune Chronicles #2),eng
C.S. Lewis,The Great Divorce,en-US
Jennifer Weiner,Little Earthquakes,
"Hans Christian Andersen, Lily Owens, Arthur Rackham, Hans Richter",The Complete Fairy Tales,eng
Mark Cotta Vaz,"New Moon: The Complete Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #2)",en-US
Colleen Hoover,"Maybe Someday (Maybe, #1)",eng
Jane Green,Mr. Maybe,eng
L.M. Montgomery,"Anne of the Island (Anne of Green Gables, #3)",eng
"Friedrich Nietzsche, Walter Kaufmann",Thus Spoke Zarathustra,eng
"Elizabeth Gaskell, Alan Shelston",North and South,eng
Jaycee Dugard,A Stolen Life,en-US
Amish Tripathi,"The Immortals of Meluha (Shiva Trilogy, #1)",eng
Michael Crichton,"The Lost World (Jurassic Park, #2)",eng
Lauren Oliver,"Requiem (Delirium, #3)",eng
Robert Jordan,"A Crown of Swords (Wheel of Time, #7)",eng
"Aesop, Laura Harris, Laura Gibbs",Aesop's Fables,eng
Cormac McCarthy,"Blood Meridian, or the Evening Redness in the West",eng
Becca Fitzpatrick,"Finale (Hush, Hush, #4)",eng
Stephen King,Skeleton Crew,eng
Chuck Palahniuk,Lullaby,
Chetan Bhagat,2 States: The Story of My Marriage,eng
"Matsuri Hino, Tomo Kimura","Vampire Knight, Vol. 1 (Vampire Knight, #1)",eng
Jim Butcher,"Summer Knight (The Dresden Files, #4)",eng
"Anne McCaffrey, Teodor Panasiński","Dragonflight (Dragonriders of Pern, #1)",eng
"John D. Rateliff, J.R.R. Tolkien","The History of the Hobbit, Part One: Mr. Baggins",eng
Colleen Hoover,Ugly Love,eng
Joanne Harris,"Chocolat (Chocolat, #1)",eng
Jay Anson,The Amityville Horror,eng
Michael Ondaatje,The English Patient,
Sylvain Reynard,"Gabriel's Rapture (Gabriel's Inferno, #2)",eng
"James Joyce, Jeri Johnson",Dubliners,eng
Colum McCann,Let the Great World Spin,en-US
Eoin Colfer,"The Eternity Code (Artemis Fowl, #3)",eng
Harlan Coben,Tell No One,eng
Stephen King,The Tommyknockers,eng
Rachel Hawkins,"Hex Hall (Hex Hall, #1)",eng
Austin Kleon,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,en-US
Neal Stephenson,Cryptonomicon,eng
Christina Lauren,"Beautiful Bastard (Beautiful Bastard, #1)",eng
Barbara Kingsolver,Prodigal Summer,en-US
Joyce Carol Oates,We Were the Mulvaneys,eng
Scott McCloud,Understanding Comics: The Invisible Art,en-US
"Kami Garcia, Margaret Stohl","Beautiful Darkness (Caster Chronicles, #2)",en-US
Jon Ronson,The Psychopath Test: A Journey Through the Madness Industry,eng
Jodi Picoult,Vanishing Acts,en-US
David Baldacci,Absolute Power,eng
Janet Evanovich,"Hot Six (Stephanie Plum, #6)",eng
Mitch Albom,The Time Keeper,eng
Christopher Moore,"A Dirty Job (Grim Reaper, #1)",en-US
Michael   Lewis,Moneyball: The Art of Winning an Unfair Game,en-US
Jonathan Stroud,"The Amulet of Samarkand (Bartimaeus, #1)",en-US
"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",I Am America (And So Can You!),en-US
"Kenneth H. Blanchard, Spencer Johnson",The One Minute Manager,en-US
Leon Uris,Exodus,eng
Ursula Hegi,Stones from the River,en-GB
Raymond Chandler,"The Big Sleep (Philip Marlowe, #1)",eng
John Steinbeck,Cannery Row,eng
Ellen DeGeneres,Seriously... I'm Kidding,en-US
"Lemony Snicket, Brett Helquist","The Miserable Mill (A Series of Unfortunate Events, #4)",en-US
Eowyn Ivey,The Snow Child,eng
"J. Lynn, Jennifer L. Armentrout","Wait for You (Wait for You, #1)",eng
Jeff Kinney,"The Last Straw (Diary of a Wimpy Kid, #3)",eng
"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",The Divine Comedy,eng
"Benjamin Hoff, Ernest H. Shepard",The Tao of Pooh,eng
Jennifer L. Armentrout,"Onyx (Lux, #2)",eng
Tahereh Mafi,"Unravel Me (Shatter Me, #2)",eng
Sarah Dunant,The Birth of Venus,en-US
Eoin Colfer,"The Opal Deception  (Artemis Fowl, #4)",eng
"David Lagercrantz, Stieg Larsson, George Goulding","The Girl in the Spider's Web (Millennium, #4)",eng
Emma Cline,The Girls,eng
Shannon Hale,"The Goose Girl (The Books of Bayern, #1)",en-US
Dennis Lehane,Mystic River,en-US
Isaac Marion,"Warm Bodies (Warm Bodies, #1)",
"Mark Twain, Everett H. Emerson",The Prince and the Pauper,eng
Robert A. Heinlein,The Moon is a Harsh Mistress,eng
"Elif Shafak, إليف شافاق, ارسلان فصیحی, محمد درويش",The Forty Rules of Love,eng
Janet Evanovich,"High Five (Stephanie Plum, #5)",eng
Stephen King,Joyland,eng
"Hajime Isayama, Sheldon Drzka","Attack on Titan, Vol. 1 (Attack on Titan, #1)",eng
F. Scott Fitzgerald,Tender Is the Night,en-US
Olive Ann Burns,Cold Sassy Tree,
Tennessee Williams,The Glass Menagerie,eng
"Elena Ferrante, Ann Goldstein",My Brilliant Friend (The Neapolitan Novels #1),eng
Timothy Ferriss,The 4-Hour Workweek,eng
Robin S. Sharma,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams  Reaching Your Destiny,eng
Amor Towles,Rules of Civility,eng
Larry Niven,"Ringworld (Ringworld, #1)",eng
Ruta Sepetys,Between Shades of Gray,eng
"Andrew Clements, Brian Selznick",Frindle,en-US
Jeff Kinney,"Dog Days (Diary of a Wimpy Kid, #4)",en-US
Louise Erdrich,The Round House,eng
Madeleine L'Engle,"A Wind in the Door (A Wrinkle in Time Quintet, #2)",eng
Veronica Roth,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)",eng
Hanya Yanagihara,A Little Life,eng
"Brian K. Vaughan, Pia Guerra, José Marzán Jr.","Y: The Last Man, Vol. 1: Unmanned",eng
Brandon Sanderson,"The Alloy of Law (Mistborn, #4)",eng
Charlaine Harris,"Dead Reckoning (Sookie Stackhouse, #11)",eng
"Anne Tyler, Jennifer Bassett",The Accidental Tourist,eng
Benjamin Alire Sáenz,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",
H.G. Wells,The Invisible Man,eng
"Haruki Murakami, Alfred Birnbaum",Hard-Boiled Wonderland and the End of the World,eng
"Paulo Coelho, Alan R. Clarke",By the River Piedra I Sat Down and Wept,eng
"Johann David Wyss, Scott McKowen, Arthur Pober",The Swiss Family Robinson  ,eng
Stephen King,Four Past Midnight ,en-GB
Jennifer Probst,"The Marriage Bargain (Marriage to a Billionaire, #1)",eng
L.M. Montgomery,"Anne of Avonlea (Anne of Green Gables, #2)",en-US
"Watty Piper, Doris Hauman, George Hauman",The Little Engine That Could,en-US
Karen Joy Fowler,We Are All Completely Beside Ourselves,eng
Orson Scott Card,"Children of the Mind (Ender's Saga, #4)",eng
James Joyce,Ulysses,eng
Sarah Dessen,Someone Like You,eng
Alan Brennert,Moloka'i,en-US
Anne Rice,"The Witching Hour (Lives of the Mayfair Witches, #1)",eng
Frank E. Peretti,"This Present Darkness (Darkness, #1)",eng
Jessica Sorensen,"The Coincidence of Callie & Kayden (The Coincidence, #1)",eng
Lauren Groff,Fates and Furies,eng
Judy Blume,Summer Sisters,
"E.B. White, Garth Williams",Stuart Little,en-US
Isaac Asimov,"The Foundation Trilogy (Foundation, #1-3)",eng
Brian Greene,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",en-US
"Lemony Snicket, Brett Helquist","The Austere Academy (A Series of Unfortunate Events, #5)",eng
Janet Evanovich,"Seven Up (Stephanie Plum, #7)",en-US
Kelley Armstrong,"The Awakening (Darkest Powers, #2)",eng
Jim Butcher,"Death Masks (The Dresden Files, #5)",eng
Janell Cannon,Stellaluna,en-US
Joe Abercrombie,Before They Are Hanged (The First Law #2),eng
Nancy Horan,Loving Frank,en-US
"Janet Evanovich, Lorelei King","Hard Eight (Stephanie Plum, #8)",en-US
"Lemony Snicket, Brett Helquist","The Vile Village (A Series of Unfortunate Events, #7)",eng
Flora Rheta Schreiber,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,en-US
Carl Sagan,Cosmos,eng
Chuck Palahniuk,Haunted,eng
Rosamunde Pilcher,The Shell Seekers,eng
Dave Eggers,What Is the What,eng
"Gabriel García Márquez, Gregory Rabassa",Chronicle of a Death Foretold,eng
